Species,Order ,n,"Body mass, g","Brain mass, g",Neurons,Other cells,% Neurons,Source
Sorex fumeus,Eulipotyphla,3,7.8,0.176,"36,460,000","22,860,000",61.3,"Sarko et al., 2009"
Blarina brevicauda,Eulipotyphla,5,16.2,0.347,"55,190,000","33,550,000",64.8,"Sarko et al., 2009"
Heterocephalus glaber,Glires,3,23.3,0.392,"26,875,462","24,191,205",52.5,"Herculano-Houzel et al., 2011"
Mus musculus,Glires,4,40.4,0.402,"67,873,741","33,858,759",65.3,"Herculano-Houzel et al., 2006"
Parascalops breweri,Eulipotyphla,3,42.7,0.759,"123,600,000","78,260,000",61.2,"Sarko et al., 2009"
Condylura cristata,Eulipotyphla,4,41.1,0.802,"131,330,000","83,040,000",61.3,"Sarko et al., 2009"
Amblysomus hottentotus,Afrotheria,2,79,0.812,"65,074,000","46,631,000",,"Neves et al., 2014"
Mesocricetus auratus,Glires,2,168.1,0.965,"84,220,000","70,640,000",54.3,"Herculano-Houzel et al., 2006"
Scalopus aquaticus,Eulipotyphla,3,95.3,0.999,"203,520,000","101,740,000",66.7,"Sarko et al., 2009"
Elephantulus myurus,Afrotheria,2,45.1,1.04,"129,190,603","78,594,397",,"Neves et al., 2014"
Rattus norvegicus,Glires,4,315.1,1.724,"188,867,832","121,914,668",60.7,"Herculano-Houzel et al., 2006"
Microcebus murinus,Primata,1,60,1.799,"254,711,180","138,948,820",64.7,"Gabi et al., 2010"
Proechimys cayennensis,Glires,2,223.485,2.078,"202,090,113","181,274,887",52.7,"Herculano-Houzel et al., 2011"
Petrodromus tetradactylus,Afrotheria,2,132.5,2.44,"156,830,795","103,349,000",,"Neves et al., 2014"
Tupaia glis,Scandentia,2,172.5,2.752,"261,400,000","199,650,000",56.7,"Herculano-Houzel et al., 2007"
Cavia porcellus,Glires,2,311,3.656,"233,557,275","228,087,725",50.6,"Herculano-Houzel et al., 2006"
Cynomys sp.,Glires,3,"1,515",5.321,"437,943,767","417,349,567",51,"Herculano-Houzel et al., 2011"
Sciurus carolinensis,Glires,3,500,5.548,"453,660,197","530,476,469",46,"Herculano-Houzel et al., 2011"
Callithrix jacchus,Primata,3,361,7.78,"635,800,000","590,740,000",51.7,"Herculano-Houzel et al., 2007"
Oryctolagus cuniculus,Glires,1,4600,9.132,"494,205,000","630,795,000",43.9,"Herculano-Houzel et al., 2011"
Otolemur garnetti,Primata,3,946.7,10.15,"936,000,000","666,590,000",58.4,"Herculano-Houzel et al., 2007"
Dendrohyrax dorsalis,Afrotheria,1,"1,150",12.8,"504,572,834","413,574,000",,"Neves et al., 2014"
Aotus trivirgatus,Primata,2,925,15.73,"1,468,410,000","1,195,130,000",55.1,"Herculano-Houzel et al., 2007"
Procavia capensis,Afrotheria,2,"2,517",16.853,"755,653,000","620,622,000",,"Neves et al., 2014"
Dasyprocta primnolopha,Glires,3,"2,843",17.628,"795,112,070","951,677,930",45.5,"Herculano-Houzel et al., 2006"
Saimiri sciureus,Primata,2,859,30.216,"3,246,430,000","2,073,030,000",61,"Herculano-Houzel et al., 2007"
Macaca fascicularis,Primata,1,"5,700",46.162,"3,439,004,620","3,154,415,380",52.2,"Gabi et al., 2010"
Cebus apella,Primata,1,"3,340",52.208,"3,690,520,000","3,297,740,000",52.8,"Herculano-Houzel et al., 2007"
Macaca radiata,Primata,1,"8,012",61.47,"3,755,620,300","4,878,879,700",43.5,"Gabi et al., 2010"
Sus scrofa domesticus,Artiodactyla,1,"100,000",64.18,"2,224,112,553","4,695,783,705",32.1,"Kazu et al., 2014"
Hydrochoerus hydrochaeris,Glires,2,"47,500",74.734,"1,572,560,385","3,197,929,615",33.6,"Herculano-Houzel et al., 2006"
Macaca mulatta,Primata,1,"3,900",87.346,"6,376,160,000","7,162,900,000",47.1,"Herculano-Houzel et al., 2007"
Antidorcas marsupialis,Artiodactyla,1,"25,000",106.074,"2,724,595,233","5,912,784,575",31.5,"Kazu et al., 2014"
Papio anubis cynocephalus,Primata,2,"8,000",151.194,"10,948,086,440","9,175,538,564",54.4,"Gabi et al., 2010"
Damaliscus dorcas phillipsi,Artiodactyla,1,"60,000",154.718,"3,058,814,227","9,343,246,559",24.7,"Kazu et al., 2014"
Tragelaphus stripceros,Artiodactyla,1,"218,000",306.86,"4,911,651,549","16,977,183,580",22.4,"Kazu et al., 2014"
Giraffa camelopardalensis,Artiodactyla,1,"470,000",537.218,"10,751,287,650","37,912,932,350",23.5,"Kazu et al., 2014"
Homo sapiens,Primata,4,"70,000","1,508.91","86,060,000,000","84,610,000,000",50.5,"Azevedo et al., 2009"
Loxodonta africana,Afrotheria,1,"5,000,000","4,618.62","257,043,473,412","216,057,982,337",,"Herculano-Houzel et al., 2014"
